00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
A1BG	20	184	70	193	214	111	36	143	105
A1BG-AS1	8	57	45	99	197	79	21	109	102
A1CF	0	0	0	0	0	0	0	0	0
A2M	0	0	7	13	11	5	1	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	5	10	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0
A4GALT	0	0	6	7	10	0	0	1	1
A4GNT	0	0	0	0	0	0	0	0	0
AAAS	25	221	90	178	193	428	69	272	227
AACS	13	93	18	49	37	74	25	123	100
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0
AADAT	0	5	1	6	3	2	0	1	2
AAGAB	115	419	77	128	133	561	132	554	269
AAK1	12	100	40	32	43	190	22	90	40
AAMDC	11	110	42	94	67	69	9	102	67
AAMP	108	378	202	270	299	455	128	350	287
AANAT	0	0	0	0	1	0	0	0	0
AAR2	21	127	48	57	82	126	23	116	74
AARD	11	29	26	35	18	25	18	11	13
AARS1	100	479	101	141	162	688	223	525	332
AARS2	21	103	56	86	83	172	47	176	132
AARSD1	39	133	60	80	89	232	51	172	96
AASDH	35	122	54	76	92	199	14	112	87
AASDHPPT	136	589	117	228	176	509	95	470	321
AASS	21	59	13	194	29	85	4	83	86
AATBC	0	0	0	0	0	0	0	0	0
AATF	99	618	160	264	263	461	55	511	236
AATK	0	0	0	0	0	0	0	0	0
ABAT	63	255	16	30	26	55	18	137	195
ABCA1	34	496	1243	1519	2368	566	29	242	81
ABCA10	0	0	1	0	0	0	0	0	0
ABCA11P,p1@ZNF721	192	190	188	290	371	199	41	178	131
ABCA12	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	1	0	0	0	0
ABCA17P	0	8	3	3	6	4	0	4	7
ABCA2	0	72	45	43	90	55	6	49	66
ABCA3	10	172	73	90	165	131	14	183	112
ABCA4	0	0	0	0	0	0	0	0	0
ABCA5	33	154	104	204	169	210	30	193	194
ABCA6	1	0	2	2	3	0	0	0	0
ABCA7	74	539	113	107	231	315	39	659	463
ABCA8	0	0	1	2	3	0	0	0	1
ABCA9	0	0	2	0	0	0	0	0	0
ABCB1	20	76	3	14	6	46	13	19	59
ABCB10	3	124	55	62	71	98	22	126	119
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	7	0	3	2	0	0	1	0	0
ABCB5	0	0	0	1	0	0	0	0	0
ABCB6	2	37	6	5	4	55	11	62	67
ABCB7	54	152	60	107	93	249	30	208	149
ABCB8	18	169	50	55	83	531	116	326	329
ABCB9	3	44	12	19	28	36	9	37	49
ABCC1	87	765	305	420	553	720	266	540	577
ABCC10	11	128	61	84	97	182	43	159	177
ABCC11	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0	1
ABCC3	0	2	2	4	2	0	0	0	0
ABCC4	161	1230	169	261	324	871	359	726	2526
ABCC5	15	96	6	6	8	104	16	118	75
ABCC6P1	0	0	0	3	0	0	0	0	1
ABCC8	0	1	0	1	0	0	0	0	0
ABCC9	0	0	2	0	1	0	0	0	1
ABCD1	2	98	76	80	94	182	24	106	77
ABCD2	0	1	0	0	0	1	0	0	0
ABCD3	72	131	34	129	37	160	39	163	102
ABCD4	11	126	97	151	163	164	47	161	203
ABCE1	407	319	110	116	129	636	96	272	111
ABCF1	315	663	511	582	723	853	164	521	456
ABCF2,p1@ABCF2-H2BE1	17	205	55	70	98	280	56	268	110
ABCF2P1	2	5	1	2	0	5	1	4	3
ABCF3	77	271	126	205	232	278	54	249	181
ABCG1	2	73	75	86	164	1	2	2	1
ABCG2	0	0	1	3	0	1	1	0	2
ABCG4	0	1	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0
ABHD1	0	4	7	7	4	0	0	3	2
ABHD10	66	232	63	80	103	229	28	217	141
ABHD11	8	100	47	72	96	77	15	174	114
ABHD11-AS1	0	3	0	1	0	1	0	1	1
ABHD12	17	183	131	138	186	282	33	246	200
ABHD12B	0	0	0	0	0	0	0	1	0
ABHD13	102	298	101	195	133	327	17	256	148
ABHD14A	0	7	0	1	1	2	2	4	1
ABHD14A,p2@ABHD14A-ACY1	8	120	40	83	76	103	17	235	119
ABHD14A,p3@ABHD14A-ACY1	0	24	5	8	6	12	0	20	22
ABHD14A-ACY1	0	1	0	0	0	0	0	1	0
ABHD14B,p1@PCBP4	82	769	266	498	467	681	126	752	510
ABHD15	0	19	14	20	29	16	6	14	23
ABHD16A	78	400	108	154	182	433	78	369	220
ABHD17A	0	77	69	86	107	65	13	96	71
ABHD17AP6	0	28	18	19	30	25	2	31	20
ABHD17B	25	332	155	216	169	377	66	313	505
ABHD17C	0	11	14	15	31	8	5	16	17
ABHD18	51	223	118	109	126	324	56	240	243
ABHD2	370	1489	430	523	644	1730	422	1492	1230
ABHD3	20	84	113	136	293	118	15	166	142
ABHD4	145	1518	508	846	1073	1826	143	1469	890
ABHD5	167	113	68	61	94	156	24	126	138
ABHD6	29	423	73	116	117	356	43	393	211
ABHD8	2	153	37	90	106	166	16	231	132
ABI1	402	927	477	591	646	1079	129	688	472
ABI2	94	319	107	193	134	236	65	184	145
ABI3	0	0	1	2	2	0	0	0	0
ABI3BP	57	14	1025	1162	719	68	1	39	1
ABITRAM	14	42	7	23	22	75	11	38	41
ABL1	4	333	208	226	340	275	66	311	370
ABL2	656	119	105	85	113	152	41	116	71
ABLIM1	3	0	15	8	27	4	1	0	1
ABLIM2	0	0	4	5	4	2	0	1	1
ABLIM3	0	0	11	33	42	1	1	10	3
ABO	0	0	3	1	2	0	0	0	0
ABR	8	241	179	265	340	162	28	188	304
ABRA	0	0	0	0	0	0	0	0	0
ABRACL	1443	2504	185	379	220	4223	666	2878	1005
ABRAXAS1	76	219	132	144	166	199	19	122	138
ABRAXAS2	139	294	129	178	208	308	54	239	174
ABT1	30	235	79	145	146	285	44	330	181
ABTB1	5	165	83	123	176	113	26	147	372
ABTB2	0	3	29	16	40	11	0	2	13
ACAA1	19	292	142	202	198	344	53	423	304
ACAA2	111	583	157	215	216	780	91	798	348
ACACA	36	177	17	25	48	115	38	139	55
ACACB	1	6	19	26	30	1	2	7	32
ACAD10	6	79	42	37	55	117	10	77	39
ACAD11	51	47	36	75	73	233	63	62	42
ACAD8	27	196	49	71	84	240	50	227	185
ACAD9	23	214	84	164	136	249	44	233	165
ACADL	0	0	0	0	0	2	0	0	1
ACADM	304	672	117	205	218	825	66	483	229
ACADS	8	141	72	137	122	120	10	280	180
ACADSB	25	103	47	56	54	100	6	83	74
ACADVL	42	767	661	835	1029	1518	360	967	1047
ACAN	0	0	0	0	0	1	0	0	0
ACAP1	8	215	78	122	162	151	20	242	258
ACAP2	91	563	423	558	699	643	73	584	531
ACAP3	6	27	25	26	35	36	7	50	44
ACAT1	101	308	117	158	191	557	51	436	203
ACAT2	293	469	64	62	79	186	54	459	242
ACBD3	1347	1321	1069	1604	1483	1495	269	937	666
ACBD4	3	126	57	111	127	114	15	133	112
ACBD5	15	128	80	118	132	146	17	104	118
ACBD6	28	245	112	246	220	217	41	257	228
ACBD7	2	8	1	1	2	11	1	6	9
ACCS	5	94	179	263	303	201	3	285	74
ACD	18	106	117	146	192	64	21	142	118
ACE	0	2	4	4	5	15	15	1	76
ACE2	0	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0	0
ACER2	7	33	123	103	153	22	6	32	88
ACER3	404	907	298	705	478	975	67	1167	653
ACHE	0	0	9	18	7	0	0	0	1
ACIN1	320	1478	763	960	1222	1648	268	1339	1183
ACKR1	0	0	7	2	6	0	0	0	0
ACKR2	0	0	0	0	0	0	0	0	0
ACKR2,p3@KRBOX1	0	0	0	1	0	0	0	0	0
ACKR3	0	0	11	9	9	0	0	0	0
ACKR4	0	0	7	3	2	17	1	0	0
ACLY	85	443	117	148	171	362	58	346	298
ACMSD	0	0	0	0	0	0	0	0	0
ACO1	138	279	63	118	120	367	47	251	100
ACO2	114	473	156	195	247	849	132	596	311
ACOD1	0	0	0	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0	0	0	0
ACOT11	0	96	86	153	144	133	24	146	137
ACOT12	0	0	0	0	0	0	0	0	0
ACOT13	95	354	93	195	132	381	32	365	145
ACOT2	1	55	45	83	67	79	19	124	94
ACOT4	1	29	10	3	18	8	3	26	19
ACOT7	7	180	832	722	1328	175	39	176	217
ACOT8	37	364	66	104	99	357	38	463	230
ACOT9	53	333	114	159	147	329	53	414	189
ACOX1	46	270	107	156	176	227	46	235	316
ACOX2	0	0	0	1	0	0	0	0	0
ACOX3	16	84	53	86	77	85	24	74	87
ACOXL	0	0	0	0	0	2	0	1	0
ACP1	181	1085	238	336	378	953	140	759	411
ACP2	21	216	49	83	62	227	34	200	131
ACP3	0	0	3	0	2	0	0	0	0
ACP5	2	18	4	4	9	15	27	15	219
ACP6	0	0	2	10	11	0	1	0	2
ACP7	0	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	0	0	0
ACRBP	108	42	70	87	101	21	5	33	11
ACRV1	0	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	1	0	0	0	0
ACSBG2	0	0	0	0	0	0	0	0	0
ACSF2	12	114	25	59	56	111	15	155	169
ACSF3	3	81	44	79	98	69	10	90	67
ACSL1	449	177	78	208	95	400	86	116	65
ACSL3	646	2347	398	493	669	1492	283	1405	723
ACSL4	10045	15214	1588	1433	2247	26143	3286	9946	5094
ACSL5	96	411	106	189	233	560	79	491	288
ACSL6	3	0	0	0	0	10	2	0	0
ACSM2A	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0
ACSM3	5	43	7	19	29	21	6	28	62
ACSM5	0	0	1	0	1	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0
ACSS1	2	59	62	78	130	69	14	134	109
ACSS2	8	59	45	65	74	58	11	98	108
ACSS3	0	0	1	1	1	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0
ACTA2	7	79	12	25	29	82	22	85	91
ACTB	5934	39170	16529	17524	28301	60628	5111	48921	20242
ACTBL2	0	0	0	0	0	0	0	0	0
ACTBP11	0	11	8	11	17	8	0	5	3
ACTBP15	0	0	0	1	1	3	1	0	2
ACTBP2	2	56	23	23	47	117	7	99	34
ACTBP7	3	12	9	7	12	14	5	14	7
ACTBP8	0	11	4	2	4	16	3	18	4
ACTBP9	0	3	2	0	2	6	0	4	2
ACTC1	0	0	1	0	0	0	0	0	0
ACTG1	4858	16205	4224	3551	5630	45362	4587	24643	10142
ACTG1P11	0	0	0	0	0	6	0	8	9
ACTG1P14	1	1	0	0	1	1	0	0	0
ACTG1P19	3	56	43	48	106	57	11	66	50
ACTG1P20	3	13	0	0	2	20	3	16	3
ACTG1P21	0	20	2	3	5	20	1	21	5
ACTG1P22	0	0	0	0	0	0	0	0	0
ACTG1P25	0	0	2	1	0	1	0	0	1
ACTG2	0	0	2	3	2	0	0	0	2
ACTL10	0	11	7	5	19	7	1	5	22
ACTL6A	82	414	118	173	183	530	103	429	246
ACTL6B	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	2	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0
ACTN1	7	15	21	25	15	17	3	4	1
ACTN1-DT	0	0	1	1	0	0	0	0	0
ACTN2	7	0	56	19	69	4	3	1	24
ACTN3	0	0	1	0	0	0	0	0	0
ACTN4	86	1486	621	1006	1207	998	76	1162	727
ACTN4P1	0	2	3	7	7	6	3	6	8
ACTR10	83	428	182	249	292	685	94	680	402
ACTR1A	125	947	380	452	528	1307	240	1312	769
ACTR1B	5	132	84	171	168	141	27	162	122
ACTR2	385	1451	415	546	593	1393	95	1137	655
ACTR3	1357	4319	755	1124	1211	4391	460	4509	2621
ACTR3-AS1	2	14	19	25	32	6	2	7	6
ACTR3B	10	45	35	71	75	102	15	71	67
ACTR3C	0	6	9	10	33	39	1	20	12
ACTR5	6	38	25	72	63	72	16	77	46
ACTR6	74	184	67	102	90	239	37	161	115
ACTR8	45	246	108	96	116	309	47	312	175
ACTRT2	0	0	0	0	0	0	0	0	0
ACTRT3	0	1	3	5	3	1	0	2	2
ACVR1	80	222	21	34	69	196	67	143	180
ACVR1B	4	43	127	195	155	136	24	41	84
ACVR1C	0	0	1	0	0	0	0	1	0
ACVR2A	1	26	43	37	65	39	5	34	24
ACVR2B	0	39	24	35	60	21	2	33	31
ACVR2B-AS1	0	2	1	1	0	0	0	0	0
ACVRL1	0	0	6	1	5	0	0	0	0
ACY1	11	187	29	33	24	178	31	306	87
ACY3	0	0	0	0	0	0	0	0	0
ACYP1	22	158	37	83	55	241	34	190	119
ACYP2	50	386	88	146	98	205	28	213	180
ADA	0	0	6	1	4	1	0	0	1
ADA2	0	0	7	4	6	0	0	0	0
ADAD1	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0	0
ADAL	13	70	19	22	31	85	12	61	44
ADAM10	219	518	166	272	362	435	66	212	320
ADAM11	0	0	2	0	0	0	0	0	0
ADAM12	448	994	86	67	177	2581	452	813	1038
ADAM15	4	39	44	39	46	33	32	46	59
ADAM17	416	235	98	171	129	312	77	160	137
ADAM18	0	0	0	0	0	0	0	0	0
ADAM19	0	0	1	2	1	0	0	0	0
ADAM2	0	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0	0	0
ADAM21	0	1	0	1	0	0	0	0	0
ADAM22	2	8	12	17	21	10	2	17	12
ADAM23	0	0	0	2	1	0	0	0	0
ADAM28	1	0	0	1	1	0	0	0	3
ADAM29	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0	0
ADAM33	0	0	12	7	22	0	0	0	0
ADAM3A	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	0	14	271	457	287	5	18	16	147
ADAM9	88	146	85	168	113	140	38	83	92
ADAMDEC1	0	0	0	1	1	0	0	0	2
ADAMTS1	0	0	14	36	21	2	0	1	2
ADAMTS10	0	25	40	61	67	7	7	15	215
ADAMTS12	0	0	0	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	0	0	0	0
ADAMTS14	84	1839	4	4	7	836	41	1435	90
ADAMTS16	0	0	0	0	0	0	0	0	0
ADAMTS16-DT	0	0	0	0	0	0	0	0	0
ADAMTS17	1	0	13	15	7	4	5	0	5
ADAMTS18	0	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	1	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0
ADAMTS2	0	0	3	0	1	0	0	1	1
ADAMTS20	0	0	0	0	0	1	0	0	0
ADAMTS3	9	105	56	102	42	69	16	95	44
ADAMTS4	0	0	8	1	0	0	0	0	0
ADAMTS5	1	0	5	4	2	0	0	0	0
ADAMTS6	31	0	0	1	0	16	12	1	4
ADAMTS7	7	110	159	363	340	55	264	81	926
ADAMTS7P1	0	0	1	0	1	0	0	0	0
ADAMTS7P3	0	0	0	0	0	0	0	0	0
ADAMTS7P4	0	0	0	1	0	1	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0
ADAMTS9	0	0	3	5	1	0	0	1	0
ADAMTS9-AS1	0	0	0	2	0	0	0	0	0
ADAMTS9-AS2	0	0	4	3	2	0	0	0	0
ADAMTSL1	0	0	14	3	1	0	0	0	0
ADAMTSL2	0	0	0	0	0	0	0	0	0
ADAMTSL3	17	36	17	32	38	128	4	11	2
ADAMTSL4	7	42	23	33	37	67	17	26	13
ADAMTSL4-AS1	0	15	15	19	32	13	0	18	6
ADAMTSL5	0	3	2	0	5	5	0	3	3
ADAP1	55	128	216	136	295	191	32	115	134
ADAP1,p1@COX19	32	196	104	119	169	279	62	197	139
ADAP2	2	14	3	7	7	6	3	10	11
ADAR	236	915	318	486	524	1065	128	861	591
ADARB1	25	151	74	131	143	109	32	104	201
ADARB2	0	0	1	0	3	0	0	0	4
ADARB2-AS1	0	0	0	0	0	0	0	0	0
ADAT1	13	120	25	67	41	137	6	118	62
ADAT2	18	78	172	255	265	129	22	82	79
ADAT3	0	0	0	1	0	0	0	0	0
ADAT3,p1@SCAMP4	11	403	109	111	179	316	61	420	256
ADCK1	2	50	10	19	16	42	6	59	28
ADCK2	1	155	69	112	185	103	14	226	143
ADCK5	0	71	49	58	68	72	13	125	129
ADCY1	0	1	0	0	0	0	0	0	0
ADCY10	0	0	0	0	0	0	0	0	0
ADCY10P1	0	0	0	0	0	0	0	0	0
ADCY2	0	1	3	0	4	0	0	0	0
ADCY3	3	21	1	14	3	68	3	73	7
ADCY3,p5@ADCY8	0	69	8	1	7	30	31	23	587
ADCY3,p6@ADCY8	0	5	1	0	0	0	2	0	33
ADCY4	0	0	5	1	4	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0	0
ADCY6	2	43	11	25	18	27	3	21	35
ADCY7	3	610	365	498	667	817	73	953	706
ADCY8	0	15	0	0	0	2	12	2	34
ADCY9	0	31	16	27	48	13	3	22	24
ADCYAP1	65	27	846	510	213	10	6	6	6
ADCYAP1R1	0	0	0	0	1	0	0	0	0
ADD1	100	832	268	376	447	533	34	496	349
ADD2	0	0	0	0	1	0	0	0	0
ADD3	69	499	281	448	340	232	17	301	251
ADD3-AS1	0	0	0	0	0	0	0	0	1
ADGB	0	0	0	4	1	0	0	0	1
ADGRA1	0	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0
ADGRA2	0	0	26	7	25	0	0	3	2
ADGRA3	0	3	9	12	2	17	1	14	4
ADGRB1	0	1	2	3	3	0	0	0	0
ADGRB2	0	8	18	36	18	60	1	20	22
ADGRB3	1	1	4	1	2	3	0	2	1
ADGRD1	0	0	4	2	5	1	0	0	0
ADGRD1-AS1	0	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0	0
ADGRE2	88	652	763	837	2647	1932	272	1172	2280
ADGRE3	0	0	0	0	0	1	0	0	0
ADGRE4P	168	245	159	118	283	95	13	140	140
ADGRE5	68	1599	3059	3690	3020	416	59	296	308
ADGRF1	0	0	1	0	0	0	0	0	0
ADGRF2	0	10	0	0	0	14	0	9	7
ADGRF3	4	14	24	27	63	18	4	10	8
ADGRF4	0	2	0	0	0	3	0	1	0
ADGRF5	0	0	4	5	6	0	0	0	1
ADGRG1	1	0	19	17	19	0	0	0	0
ADGRG2	0	0	0	0	0	0	0	1	0
ADGRG3	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0
ADGRG5	0	1	0	3	0	0	0	0	2
ADGRG6	0	0	0	1	1	0	0	0	0
ADGRG7	0	0	0	0	0	0	0	0	0
ADGRL1	0	10	40	33	38	5	0	12	8
ADGRL1-AS1	9	111	124	156	191	157	47	150	140
ADGRL2	5	6	16	3	12	6	0	21	3
ADGRL3	1	1	1	0	0	1	0	0	0
ADGRL4	0	0	5	2	4	0	0	0	0
ADGRV1	0	0	6	7	13	0	0	0	0
ADH1A	0	0	0	0	0	0	0	0	0
ADH1B	0	0	22	14	37	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0	0
ADH5	34	296	109	165	163	357	35	429	179
ADH5P3	6	33	14	11	16	38	3	47	24
ADH6	0	0	0	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0	0
ADHFE1	18	103	33	74	62	44	5	119	115
ADI1	80	517	186	304	265	506	45	492	391
ADIG	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0
ADIPOR1	107	456	159	288	300	327	36	345	212
ADIPOR2	437	433	110	91	159	396	123	271	225
ADIRF	0	0	757	689	1041	1	0	0	0
ADIRF-AS1	2	8	67	156	89	37	1	45	35
ADK	43	211	151	225	207	278	89	256	294
ADM	1	24	65	207	42	16	3	21	23
ADM2	1	10	2	1	4	11	9	3	0
ADM5	0	0	2	0	0	0	0	0	0
ADNP	91	542	335	461	543	524	58	353	381
ADNP-AS1	0	0	1	2	3	1	0	0	2
ADNP2	65	89	74	133	110	64	4	53	32
ADO	8	195	60	104	179	204	37	196	130
ADORA1	0	0	0	1	5	0	0	0	0
ADORA2A	6	158	27	47	30	163	6	113	5
ADORA2A-AS1	0	0	0	0	0	0	0	0	0
ADORA2B	10	166	46	71	77	97	28	88	110
ADORA3	9	66	4	38	10	123	12	100	100
ADORA3,p10@TMIGD3	13	33	0	11	3	52	10	38	32
ADPGK	32	414	126	182	208	298	37	342	233
ADPGK-AS1	0	4	1	1	8	3	2	1	2
ADPRH	17	331	129	689	318	418	59	374	237
ADPRHL1	0	0	0	0	0	0	0	0	0
ADPRM	42	139	53	108	91	128	22	155	89
ADPRS	7	130	38	59	120	109	23	175	91
ADRA1A	0	0	0	0	0	0	0	0	1
ADRA1B	0	0	2	0	0	0	0	0	0
ADRA1D	0	1	1	0	4	0	0	0	0
ADRA2A	19	49	33	25	40	23	348	32	323
ADRA2B	0	0	2	0	1	0	0	0	0
ADRA2C	1	0	1	0	0	0	0	0	0
ADRB1	0	1	1	7	2	0	0	1	0
ADRB2	2491	2913	784	1110	1440	3203	281	4834	1374
ADRB3	0	0	0	0	0	0	0	0	0
ADRM1	75	453	172	222	205	394	85	403	265
ADSL	16	162	82	88	119	213	27	180	111
ADSS1	1	15	22	11	31	16	2	16	43
ADSS2	161	408	262	314	417	617	173	411	385
ADTRP	0	2	0	1	3	0	0	1	1
AEBP1	18	54	108	159	147	4	22	0	27
AEBP2	96	345	439	626	601	314	60	249	334
AEN	13	79	8	30	32	81	17	155	102
AFAP1	0	0	1	5	3	0	0	0	0
AFAP1-AS1	0	0	0	0	0	0	0	0	0
AFAP1L1	0	0	27	24	40	0	0	0	1
AFAP1L2	0	2	3	2	5	0	1	1	1
AFDN	3	3	13	12	20	4	0	2	6
AFDN-DT	0	0	0	1	0	0	0	0	0
AFF1	1163	828	834	1274	1308	1202	219	682	686
AFF2	2	26	43	53	22	65	3	40	24
AFF3	0	0	5	4	6	0	1	1	0
AFF4	470	512	433	766	812	396	76	366	350
AFG1L	2	38	17	32	30	58	7	39	28
AFG3L1P	26	83	32	51	50	106	12	72	68
AFG3L2	31	380	241	293	438	422	98	326	346
AFM	0	0	0	0	0	0	0	0	0
AFMID	7	59	40	65	116	61	30	65	129
AFP	0	0	0	0	0	0	0	0	0
AFTPH	511	169	140	212	215	193	34	102	88
AFTPH-DT	1	1	0	12	9	4	0	5	1
AGA	37	130	46	44	63	346	26	230	119
AGAP1	10	1195	2045	2051	3008	725	280	1154	971
AGAP1-IT1	0	0	0	0	0	0	0	0	0
AGAP11	2	8	109	115	101	7	2	9	12
AGAP2	16	140	28	63	67	88	22	103	127
AGAP2-AS1	0	3	9	20	6	1	1	6	2
AGAP3	1	443	309	196	400	290	249	148	566
AGBL1	0	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0	0
AGBL2	3	15	8	12	14	16	2	14	20
AGBL3	3	36	14	23	22	57	3	40	34
AGBL4	0	0	1	7	1	0	0	0	0
AGBL5	8	96	70	87	110	88	10	81	84
AGER	0	0	0	0	0	0	0	1	0
AGFG1	178	515	191	247	347	403	51	329	248
AGFG2	2	228	39	67	85	142	16	138	151
AGGF1	62	451	113	170	265	383	86	312	303
AGK	9	30	13	23	13	48	2	45	23
AGKP1	0	0	0	0	0	9	1	3	4
AGKP2	8	39	8	24	19	54	5	32	17
AGL	81	117	50	74	93	143	41	82	81
AGMAT	0	0	0	0	0	1	1	0	1
AGMO	0	0	0	0	0	0	0	0	0
AGO1	20	344	128	153	276	287	47	359	318
AGO2	131	167	96	145	165	152	54	92	133
AGO3	195	277	326	348	711	270	73	218	318
AGO4	5	135	54	49	100	116	20	107	100
AGPAT1	13	196	50	117	115	183	42	177	166
AGPAT2	2	107	76	116	104	46	12	147	114
AGPAT3	11	142	41	60	83	125	20	106	54
AGPAT4	21	72	94	166	198	187	20	134	65
AGPAT5	337	1215	307	782	514	1089	325	682	734
AGPS	199	1549	799	1186	1253	1537	166	1666	1144
AGR2	0	0	0	3	1	0	0	0	0
AGR3	0	0	0	0	0	0	0	0	0
AGRN	2	21	19	11	40	32	17	2	22
AGRP	0	0	0	0	0	0	0	0	0
AGT	0	0	2	0	1	0	0	0	0
AGTPBP1	4	58	102	158	180	90	14	81	78
AGTR2	0	0	0	0	0	0	0	0	0
AGTRAP	12	613	205	504	598	403	72	1405	1192
AGXT	0	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0	0
AHCTF1	32	79	47	97	126	70	15	87	61
AHCY	22	189	36	47	92	171	58	217	194
AHCYL1	105	587	475	684	775	587	114	481	426
AHCYL2	4	85	62	76	113	49	9	96	104
AHDC1	33	103	98	145	114	58	11	24	78
AHI1	272	136	481	600	718	584	64	150	143
AHNAK	508	4910	7179	7916	11635	3382	401	4748	3587
AHNAK2	57	375	251	293	598	389	25	408	411
AHR	797	1730	2059	2876	2232	2003	171	814	1294
AHRR	0	16	23	9	36	1	2	0	115
AHSA1	214	432	373	409	691	1082	289	758	468
AHSA2P	12	281	287	509	480	340	39	476	307
AHSG	0	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0	0
AICDA	0	0	0	0	0	0	0	0	0
AIDA	26	125	74	92	174	182	22	106	96
AIDAP1	3	12	5	15	17	16	1	9	11
AIF1	17	51	17	55	34	13	18	63	61
AIF1L	0	0	6	1	11	0	1	2	1
AIFM1	40	164	49	86	79	207	19	152	100
AIFM2	10	104	18	18	48	139	9	124	50
AIFM3	0	0	0	0	0	0	0	0	1
AIG1	351	720	77	168	174	165	27	436	160
AIM2	15	0	0	0	1	0	0	0	0
AIMP1	584	749	490	790	752	1177	188	731	397
AIMP2	86	429	80	107	133	570	112	356	138
AIP	43	493	209	303	443	379	88	632	388
AIPL1	0	0	0	0	0	0	0	0	0
AIRE	0	0	1	0	0	0	0	0	0
AJAP1	0	0	1	1	1	0	0	0	0
AJM1	0	51	43	70	253	35	4	49	62
AJUBA	0	0	1	2	2	0	1	0	2
AK1	0	6	9	16	17	1	3	4	6
AK2	51	235	81	108	139	330	75	339	184
AK3	59	141	86	73	81	117	7	112	71
AK3,p15@AK4	229	529	333	295	334	476	91	540	478
AK4	0	6	15	29	25	3	2	3	1
AK5	48	44	9	8	8	193	31	47	28
AK6	32	23	60	170	56	36	5	7	11
AK6,p1@TAF9	314	807	231	393	404	918	167	727	262
AK6,p9@TAF9	1	1	0	0	0	1	0	0	0
