00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
KLHL42	1	55	35	41	62	54	6	57	50
KLHL5	6	69	46	107	103	43	12	26	36
KLHL6	79	431	202	307	246	459	100	438	889
KLHL7	24	161	67	105	113	157	20	167	115
KLHL7-DT	3	2	1	9	2	14	3	8	8
KLHL8	68	64	39	53	55	81	12	59	42
KLHL9	131	482	144	279	289	429	43	443	198
KLK1	1	3	2	3	5	1	0	1	2
KLK10	0	0	1	4	6	0	0	0	0
KLK11	0	0	2	2	19	0	0	0	0
KLK12	0	0	0	0	0	0	0	0	0
KLK13	1	0	1	0	0	0	0	1	0
KLK14	0	0	0	0	4	0	0	0	0
KLK15	0	0	0	0	0	0	0	0	0
KLK2	0	0	0	0	0	0	0	0	0
KLK3	0	0	0	0	0	0	0	0	0
KLK3,p3@KLKB1	0	0	0	0	0	0	0	0	0
KLK3,p4@KLKB1	0	0	0	0	0	0	0	0	0
KLK4	0	0	0	0	0	4	0	0	0
KLK5	0	0	1	0	6	0	0	0	1
KLK6	0	0	1	1	0	0	0	0	0
KLK7	0	0	3	0	5	0	0	0	2
KLK8	1	0	0	6	3	0	0	0	0
KLK9	0	0	0	0	0	0	0	0	0
KLKB1	0	0	0	1	0	0	0	0	0
KLKP1	0	0	0	0	0	0	0	0	0
KLRA1P	0	0	0	0	0	0	0	0	0
KLRB1	0	0	28	13	17	3	0	2	0
KLRC1	0	0	3	1	1	0	0	0	0
KLRC2	0	0	0	0	0	0	0	0	0
KLRC4-KLRK1	0	0	0	0	0	0	0	0	0
KLRD1	0	0	0	1	1	0	0	0	0
KLRF1	0	0	0	0	0	0	0	0	0
KLRF2	0	0	8	1	14	0	0	0	0
KLRG1	978	3355	929	1502	1241	4697	398	3926	2135
KLRG2	0	0	3	1	3	0	1	0	0
KLRK1	10	76	27	5	42	157	14	50	57
KLRK1-AS1	0	0	0	0	0	0	0	0	0
KMO	0	0	2	0	0	0	0	0	0
KMT2A	40	410	424	631	749	311	53	340	513
KMT2B	3	192	171	218	255	171	26	118	146
KMT2C	78	390	286	396	499	285	51	443	385
KMT2D	33	255	153	208	297	415	59	270	213
KMT2E	446	822	866	1100	1172	745	109	596	619
KMT2E-AS1	144	125	260	378	406	150	9	81	94
KMT2E-AS1,p1@LINC01004	4	64	69	61	153	63	7	51	43
KMT5A	38	271	59	74	97	194	36	252	156
KMT5B	97	289	153	245	276	307	36	194	166
KMT5C	1	77	258	362	451	69	10	79	60
KNCN	0	0	0	0	0	0	0	0	0
KNDC1	0	3	19	39	48	10	0	8	1
KNG1	0	0	0	0	0	0	0	0	0
KNL1	89	197	10	8	6	202	35	201	207
KNOP1	6	40	15	23	27	62	5	40	12
KNSTRN	10	157	33	54	31	164	25	168	157
KNTC1	29	96	16	32	36	80	24	138	103
KPNA1	260	592	295	358	441	694	182	579	421
KPNA2	1344	1241	234	127	284	1352	293	1451	711
KPNA3	61	307	94	137	116	230	40	231	252
KPNA4	307	582	410	361	907	351	139	626	308
KPNA5	45	165	51	78	113	158	20	104	89
KPNA6	88	455	180	235	243	697	137	573	359
KPNA7	0	0	0	0	0	0	0	0	0
KPNB1	585	1277	417	454	890	1060	276	858	951
KPRP	0	0	0	0	0	0	0	0	0
KPTN	1	10	3	0	2	6	1	13	12
KRAS	97	228	95	143	167	161	37	168	133
KRASP1	7	0	1	0	0	0	0	0	0
KRBA1	0	17	15	35	51	3	1	20	21
KRBA2	6	46	47	58	53	49	4	48	44
KRBOX1	0	0	0	0	0	0	0	0	0
KRBOX4	32	166	99	133	147	189	18	194	141
KRCC1	24	363	167	196	295	370	51	261	159
KREMEN1	172	984	197	275	541	681	33	1068	353
KREMEN2	0	0	0	0	0	0	0	0	0
KRI1	177	226	79	125	156	258	41	159	224
KRIT1	459	200	108	186	210	204	31	173	139
KRR1	889	632	263	393	398	729	147	489	311
KRT1	726	6379	688	979	2856	890	1761	4861	11897
KRT10	1	0	2	3	6	0	0	0	0
KRT10-AS1	9	34	16	18	27	59	4	46	23
KRT12	0	0	0	0	0	0	0	0	0
KRT13	2	0	0	0	0	0	3	0	0
KRT14	0	0	76	76	86	0	0	0	0
KRT15	0	0	36	46	164	1	0	0	4
KRT16	0	0	15	49	15	0	0	1	1
KRT16P1	0	0	0	0	0	0	0	0	0
KRT16P4	0	0	12	20	10	0	0	0	0
KRT17	0	0	0	6	1	0	0	0	0
KRT17P2	0	0	0	0	0	0	0	0	0
KRT17P3	0	0	0	0	0	0	0	0	0
KRT17P8	0	0	0	1	0	0	0	0	0
KRT18	0	0	11	16	44	0	0	0	0
KRT18P11	0	0	0	0	0	0	0	0	0
KRT18P55	0	0	0	0	0	0	0	0	0
KRT19	63	1649	597	659	1180	951	262	1192	1024
KRT19P1	0	2	0	1	0	0	1	0	1
KRT2	0	0	0	0	0	0	0	0	0
KRT20	0	0	0	0	0	0	0	0	0
KRT222	5	22	7	0	1	18	0	22	15
KRT223P	1	7	22	0	0	0	1	23	1
KRT23	0	0	18	14	18	0	0	0	0
KRT24	0	0	0	0	0	0	0	0	0
KRT25	0	0	0	0	0	0	0	0	0
KRT27	0	0	0	0	0	0	0	0	0
KRT28	0	0	0	0	0	0	0	0	0
KRT3	0	0	0	0	0	0	0	0	0
KRT31	0	0	1	0	0	0	0	0	0
KRT33A	0	0	0	0	0	0	0	0	0
KRT33B	0	0	0	0	0	0	0	0	0
KRT34	0	0	0	0	0	0	0	0	0
KRT35	0	0	0	0	0	0	0	0	0
KRT36	0	0	0	0	0	0	0	0	0
KRT37	0	0	0	0	0	0	0	0	0
KRT39	0	0	0	0	0	0	0	0	0
KRT4	0	0	0	0	0	0	0	0	0
KRT40	0	0	0	0	0	0	0	0	0
KRT5	0	0	30	54	45	0	0	0	0
KRT6A	1	0	36	58	23	0	0	0	0
KRT6B	0	0	32	59	25	1	1	0	0
KRT6C	0	0	0	0	0	0	0	0	0
KRT7	0	1	30	34	116	0	1	0	1
KRT71	0	0	0	0	0	0	0	0	0
KRT72	0	0	0	0	0	0	0	0	0
KRT74	0	0	0	0	0	0	0	0	0
KRT75	0	0	0	1	1	0	0	0	0
KRT76	0	0	0	0	0	0	0	0	0
KRT77	0	0	5	23	7	0	0	0	0
KRT78	0	0	0	0	0	0	0	0	0
KRT79	0	0	0	0	0	4	4	0	3
KRT8	0	0	2	1	2	0	0	0	0
KRT80	0	0	6	4	2	1	0	0	0
KRT81	0	0	0	0	0	0	0	0	0
KRT83	0	0	0	0	0	0	0	0	0
KRT84	0	0	0	0	0	0	0	0	0
KRT85	0	0	0	0	0	0	0	0	0
KRT86	0	0	0	0	0	0	0	0	0
KRT8P12	0	0	1	0	0	0	0	0	0
KRT8P13	0	0	0	0	0	0	0	0	0
KRT8P15	0	0	0	0	0	0	0	0	0
KRT8P17	0	0	0	0	0	0	0	0	0
KRT8P19	0	0	0	0	0	0	0	0	0
KRT8P21	0	0	0	0	0	0	0	0	0
KRT8P3	0	0	1	0	0	0	0	0	0
KRT8P45	0	0	0	0	0	0	0	0	0
KRT8P48	0	0	0	0	0	0	0	0	0
KRT8P7	0	0	0	0	0	0	0	0	0
KRT9	0	0	0	0	0	0	0	0	0
KRTAP1-1	0	0	0	0	0	0	0	0	0
KRTAP1-3	0	0	0	0	0	0	0	0	0
KRTAP1-5	0	0	0	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0	0	0	0
KRTAP10-9	0	0	0	0	0	0	0	0	0
KRTAP11-1	0	0	0	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0	0	0	0
KRTAP16-1	0	0	0	0	0	0	0	0	0
KRTAP17-1	0	0	0	0	0	0	0	0	0
KRTAP19-1	0	0	0	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0	0	0	0
KRTAP19-4	0	0	0	0	0	0	0	0	0
KRTAP19-5	0	0	0	0	0	0	0	0	0
KRTAP2-2	0	0	0	0	0	0	0	0	0
KRTAP2-3	0	0	0	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0	0	0	0
KRTAP21-2	0	0	0	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0	0	0	0
KRTAP26-1	0	0	1	0	0	0	0	0	0
KRTAP3-1	0	0	0	0	0	0	0	0	1
KRTAP3-2	0	0	0	0	0	0	0	0	0
KRTAP3-3	0	0	0	0	0	0	0	0	0
KRTAP4-1	0	0	0	0	0	0	0	0	0
KRTAP4-11	0	0	0	0	0	0	0	0	0
KRTAP4-12	0	0	0	0	0	0	0	0	0
KRTAP4-2	0	0	0	0	0	0	0	0	0
KRTAP4-3	0	0	0	0	0	0	0	0	0
KRTAP4-4	0	0	0	0	0	0	0	0	0
KRTAP4-5	0	0	0	0	0	0	0	0	0
KRTAP4-6	0	0	0	0	0	0	0	0	0
KRTAP4-8	0	0	0	0	0	0	0	0	0
KRTAP5-AS1	0	0	2	2	13	0	0	0	0
