##library_name	SampleName	library.size	Rep	State	Tissue	Batch
F6-013-RNA-002-00031-F928	BR8_AER_aso_NC	950207	BR8	Stimulated	Breast	2
F6-013-RNA-002-00032-CA46	BR8_AER_aso_NC	848690	BR8	Stimulated	Breast	2
F6-013-RNA-002-00033-B7EF	BR8_AER_aso_M1	788836	BR8	Stimulated	Breast	2
F6-013-RNA-002-00034-49AE	BR8_AER_aso_M1	752422	BR8	Stimulated	Breast	2
F6-013-RNA-002-00035-C35B	BR8_AER_aso_M2	871318	BR8	Stimulated	Breast	2
F6-013-RNA-002-00036-403B	BR8_AER_aso_M2	838715	BR8	Stimulated	Breast	2
F6-013-RNA-002-00037-1F94	BR9_aso_NC	928437	BR9	Native	Foreskin	2
F6-013-RNA-002-00038-1AD2	BR9_aso_NC	808906	BR9	Native	Foreskin	2
F6-013-RNA-002-00039-21DC	BR9_aso_M1	721112	BR9	Native	Foreskin	2
F6-013-RNA-002-00040-B3E4	BR9_aso_M1	820980	BR9	Native	Foreskin	2
F6-013-RNA-002-00041-B417	BR9_aso_M2	837366	BR9	Native	Foreskin	2
F6-013-RNA-002-00042-E84A	BR9_aso_M2	876664	BR9	Native	Foreskin	2
F6-013-RNA-002-00043-A2F0	BR9_AER_aso_NC	867035	BR9	Stimulated	Foreskin	2
F6-013-RNA-002-00044-3FC6	BR9_AER_aso_NC	858839	BR9	Stimulated	Foreskin	2
F6-013-RNA-002-00045-B59E	BR9_AER_aso_M1	881244	BR9	Stimulated	Foreskin	2
F6-013-RNA-002-00046-72E9	BR9_AER_aso_M1	817693	BR9	Stimulated	Foreskin	2
F6-013-RNA-002-00047-2360	BR9_AER_aso_M2	811683	BR9	Stimulated	Foreskin	2
F6-013-RNA-002-00048-DEEC	BR9_AER_aso_M2	817929	BR9	Stimulated	Foreskin	2
